Region,n,pos,fp,fn,fp_rate,fn_rate
3,358,54,32,10,0.0893854748603352,0.027932960893854747
2,163,27,14,6,0.08588957055214724,0.03680981595092025
7,115,17,9,5,0.0782608695652174,0.043478260869565216
4,175,31,13,7,0.07428571428571429,0.04
5,46,4,3,1,0.06521739130434782,0.021739130434782608
1,738,123,45,36,0.06097560975609756,0.04878048780487805
6,113,10,5,4,0.04424778761061947,0.035398230088495575
9,74,13,3,1,0.04054054054054054,0.013513513513513514
8,68,7,2,2,0.029411764705882353,0.029411764705882353
