model,auc_mean,auc_sd
GradientBoosting,0.9327896849703473,0.007532970431643098
RandomForest,0.9307061986200716,0.008746366117675394
MLP,0.9158962409690311,0.007334068534771366
DecisionTree,0.9117994606600577,0.014636127190228016
LogisticRegression,0.9056061039880726,0.01071831565831703
